wt,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,yr,mo,Date
11,Freitag,30,0,3,27,0,3,32,3,33,2011,02,2011-02-11
12,Samstag,23,0,7,16,0,7,21,3,26,2011,02,2011-02-12
13,Sonntag,9,0,2,7,0,2,10,1,10,2011,02,2011-02-13
14,Montag,20,0,6,14,0,6,17,3,23,2011,02,2011-02-14
15,Dienstag,22,0,1,21,0,2,22,1,23,2011,02,2011-02-15
16,Mittwoch,35,0,5,30,0,6,33,2,37,2011,02,2011-02-16
17,Donnerstag,18,0,3,15,0,5,15,0,18,2011,02,2011-02-17
18,Freitag,22,0,2,20,0,2,25,3,25,2011,02,2011-02-18
19,Samstag,9,0,2,7,0,2,11,1,10,2011,02,2011-02-19
20,Sonntag,11,0,2,9,0,3,13,6,17,2011,02,2011-02-20
21,Montag,29,0,2,27,0,2,37,2,31,2011,02,2011-02-21
22,Dienstag,34,1,3,30,1,3,34,3,37,2011,02,2011-02-22
23,Mittwoch,25,0,5,20,0,5,25,4,29,2011,02,2011-02-23
24,Donnerstag,28,0,4,24,0,5,27,3,31,2011,02,2011-02-24
25,Freitag,32,1,5,26,1,5,27,4,36,2011,02,2011-02-25
26,Samstag,25,0,4,21,0,5,24,4,29,2011,02,2011-02-26
27,Sonntag,10,0,0,10,0,0,13,4,14,2011,02,2011-02-27
28,Montag,30,0,2,28,0,2,29,2,32,2011,02,2011-02-28
1,Samstag,23,0,4,19,0,4,28,1,24,2008,03,2008-03-01
2,Sonntag,17,0,3,14,0,3,18,6,23,2008,03,2008-03-02
3,Montag,49,0,7,42,0,7,50,7,56,2008,03,2008-03-03
4,Dienstag,32,0,5,27,0,5,34,3,35,2008,03,2008-03-04
5,Mittwoch,44,0,5,39,0,6,45,2,46,2008,03,2008-03-05
6,Donnerstag,36,0,6,30,0,6,35,4,40,2008,03,2008-03-06
7,Freitag,49,0,6,43,0,6,46,3,52,2008,03,2008-03-07
8,Samstag,31,0,6,25,0,7,43,1,32,2008,03,2008-03-08
9,Sonntag,20,1,6,13,1,8,19,3,23,2008,03,2008-03-09
10,Montag,65,0,7,58,0,7,64,3,68,2008,03,2008-03-10
11,Dienstag,46,1,6,39,1,6,52,2,48,2008,03,2008-03-11
12,Mittwoch,67,0,1,66,0,1,80,3,70,2008,03,2008-03-12
13,Donnerstag,56,0,9,47,0,9,55,5,61,2008,03,2008-03-13
14,Freitag,65,0,7,58,0,7,62,4,69,2008,03,2008-03-14
15,Samstag,26,0,3,23,0,3,32,5,31,2008,03,2008-03-15
16,Sonntag,22,0,2,20,0,2,30,5,27,2008,03,2008-03-16
17,Montag,33,0,2,31,0,2,40,1,34,2008,03,2008-03-17
18,Dienstag,24,0,0,24,0,0,30,3,27,2008,03,2008-03-18
19,Mittwoch,38,0,5,33,0,6,41,2,40,2008,03,2008-03-19
20,Donnerstag,45,1,3,41,1,3,53,4,49,2008,03,2008-03-20
21,Freitag,18,0,0,18,0,0,22,4,22,2008,03,2008-03-21
22,Samstag,27,0,0,27,0,0,32,4,31,2008,03,2008-03-22
23,Sonntag,17,0,6,11,0,7,17,1,18,2008,03,2008-03-23
24,Montag,20,0,5,15,0,5,22,3,23,2008,03,2008-03-24
25,Dienstag,19,0,2,17,0,2,23,0,19,2008,03,2008-03-25
26,Mittwoch,28,0,1,27,0,1,33,3,31,2008,03,2008-03-26
27,Donnerstag,23,0,2,21,0,2,23,2,25,2008,03,2008-03-27
28,Freitag,33,0,4,29,0,4,31,0,33,2008,03,2008-03-28
29,Samstag,35,0,10,25,0,10,33,3,38,2008,03,2008-03-29
30,Sonntag,20,0,3,17,0,4,18,8,28,2008,03,2008-03-30
31,Montag,45,0,2,43,0,2,49,1,46,2008,03,2008-03-31
1,Sonntag,16,0,1,15,0,1,17,6,22,2009,03,2009-03-01
2,Montag,33,0,4,29,0,4,32,3,36,2009,03,2009-03-02
3,Dienstag,26,0,2,24,0,2,27,2,28,2009,03,2009-03-03
4,Mittwoch,25,1,4,20,1,5,26,3,28,2009,03,2009-03-04
5,Donnerstag,23,0,3,20,0,3,22,2,25,2009,03,2009-03-05
6,Freitag,46,0,5,41,0,5,48,1,47,2009,03,2009-03-06
7,Samstag,17,0,1,16,0,1,20,4,21,2009,03,2009-03-07
8,Sonntag,13,0,0,13,0,0,17,5,18,2009,03,2009-03-08
9,Montag,30,0,2,28,0,2,35,2,32,2009,03,2009-03-09
10,Dienstag,40,1,5,34,1,5,42,3,43,2009,03,2009-03-10
11,Mittwoch,27,0,2,25,0,2,29,3,30,2009,03,2009-03-11
12,Donnerstag,47,0,5,42,0,6,49,6,53,2009,03,2009-03-12
13,Freitag,39,0,3,36,0,3,42,2,41,2009,03,2009-03-13
14,Samstag,31,0,3,28,0,3,40,6,37,2009,03,2009-03-14
15,Sonntag,11,0,3,8,0,4,12,2,13,2009,03,2009-03-15
16,Montag,34,0,4,30,0,4,32,4,38,2009,03,2009-03-16
17,Dienstag,45,0,5,40,0,5,46,2,47,2009,03,2009-03-17
18,Mittwoch,39,0,6,33,0,6,40,2,41,2009,03,2009-03-18
19,Donnerstag,34,0,9,25,0,9,36,2,36,2009,03,2009-03-19
20,Freitag,33,1,1,31,1,1,35,2,35,2009,03,2009-03-20
21,Samstag,27,0,9,18,0,12,27,0,27,2009,03,2009-03-21
22,Sonntag,15,0,3,12,0,3,20,4,19,2009,03,2009-03-22
23,Montag,32,0,4,28,0,4,31,3,35,2009,03,2009-03-23
24,Dienstag,27,1,0,26,1,0,29,2,29,2009,03,2009-03-24
25,Mittwoch,24,0,7,17,0,7,20,3,27,2009,03,2009-03-25
26,Donnerstag,25,0,1,24,0,1,25,4,29,2009,03,2009-03-26
27,Freitag,32,0,4,28,0,4,31,1,33,2009,03,2009-03-27
28,Samstag,27,0,6,21,0,9,27,6,33,2009,03,2009-03-28
29,Sonntag,21,0,2,19,0,2,31,1,22,2009,03,2009-03-29
30,Montag,29,0,3,26,0,3,34,5,34,2009,03,2009-03-30
31,Dienstag,46,0,3,43,0,3,46,5,51,2009,03,2009-03-31
1,Montag,36,0,4,32,0,4,39,0,36,2010,03,2010-03-01
2,Dienstag,23,0,2,21,0,2,26,3,26,2010,03,2010-03-02
3,Mittwoch,25,0,6,19,0,6,23,4,29,2010,03,2010-03-03
4,Donnerstag,22,0,2,20,0,2,24,2,24,2010,03,2010-03-04
5,Freitag,25,0,2,23,0,2,30,4,29,2010,03,2010-03-05
6,Samstag,22,0,2,20,0,2,24,0,22,2010,03,2010-03-06
7,Sonntag,14,0,3,11,0,7,18,5,19,2010,03,2010-03-07
8,Montag,34,0,5,29,0,6,32,4,38,2010,03,2010-03-08
9,Dienstag,20,0,2,18,0,2,22,2,22,2010,03,2010-03-09
10,Mittwoch,31,2,4,25,2,4,30,3,34,2010,03,2010-03-10
11,Donnerstag,29,0,4,25,0,4,27,3,32,2010,03,2010-03-11
12,Freitag,25,0,0,25,0,0,26,1,26,2010,03,2010-03-12
13,Samstag,24,0,1,23,0,1,30,3,27,2010,03,2010-03-13
14,Sonntag,13,0,0,13,0,0,15,4,17,2010,03,2010-03-14
15,Montag,35,0,10,25,0,11,27,4,39,2010,03,2010-03-15
16,Dienstag,23,0,2,21,0,2,28,1,24,2010,03,2010-03-16
17,Mittwoch,23,1,2,20,1,2,25,3,26,2010,03,2010-03-17
18,Donnerstag,34,0,2,32,0,2,37,1,35,2010,03,2010-03-18
19,Freitag,31,1,3,27,1,4,36,2,33,2010,03,2010-03-19
20,Samstag,30,1,2,27,1,2,35,1,31,2010,03,2010-03-20
21,Sonntag,18,0,2,16,0,2,19,6,24,2010,03,2010-03-21
22,Montag,46,0,3,43,0,3,51,0,46,2010,03,2010-03-22
23,Dienstag,30,0,2,28,0,2,35,3,33,2010,03,2010-03-23
24,Mittwoch,45,0,7,38,0,7,43,3,48,2010,03,2010-03-24
25,Donnerstag,38,0,4,34,0,4,39,2,40,2010,03,2010-03-25
26,Freitag,46,0,4,42,0,4,48,3,49,2010,03,2010-03-26
27,Samstag,20,0,5,15,0,5,17,7,27,2010,03,2010-03-27
28,Sonntag,13,0,3,10,0,5,14,1,14,2010,03,2010-03-28
29,Montag,43,0,3,40,0,3,51,1,44,2010,03,2010-03-29
30,Dienstag,38,0,5,33,0,6,38,6,44,2010,03,2010-03-30
31,Mittwoch,32,0,8,24,0,8,27,4,36,2010,03,2010-03-31
1,Dienstag,29,0,8,21,0,8,25,6,35,2011,03,2011-03-01
2,Mittwoch,30,0,3,27,0,3,31,2,32,2011,03,2011-03-02
3,Donnerstag,33,0,4,29,0,4,38,3,36,2011,03,2011-03-03
4,Freitag,32,0,4,28,0,4,38,5,37,2011,03,2011-03-04
5,Samstag,21,0,2,19,0,2,25,7,28,2011,03,2011-03-05
6,Sonntag,19,0,3,16,0,3,21,7,26,2011,03,2011-03-06
7,Montag,34,0,5,29,0,5,35,4,38,2011,03,2011-03-07
8,Dienstag,35,0,5,30,0,5,37,1,36,2011,03,2011-03-08
9,Mittwoch,19,0,1,18,0,1,19,1,20,2011,03,2011-03-09
10,Donnerstag,29,0,2,27,0,2,28,1,30,2011,03,2011-03-10
11,Freitag,38,1,7,30,1,7,38,6,44,2011,03,2011-03-11
12,Samstag,23,0,2,21,0,2,26,4,27,2011,03,2011-03-12
13,Sonntag,19,0,4,15,0,4,17,1,20,2011,03,2011-03-13
14,Montag,42,0,3,39,0,3,43,1,43,2011,03,2011-03-14
15,Dienstag,29,0,7,22,0,7,24,2,31,2011,03,2011-03-15
16,Mittwoch,33,0,0,33,0,0,39,1,34,2011,03,2011-03-16
17,Donnerstag,54,0,6,48,0,7,56,5,59,2011,03,2011-03-17
18,Freitag,18,0,4,14,0,4,18,3,21,2011,03,2011-03-18
19,Samstag,30,0,4,26,0,4,32,3,33,2011,03,2011-03-19
20,Sonntag,14,0,3,11,0,8,12,3,17,2011,03,2011-03-20
21,Montag,39,0,4,35,0,4,43,1,40,2011,03,2011-03-21
22,Dienstag,45,0,8,37,0,8,42,0,45,2011,03,2011-03-22
23,Mittwoch,44,1,4,39,1,5,43,2,46,2011,03,2011-03-23
24,Donnerstag,52,0,3,49,0,3,63,5,57,2011,03,2011-03-24
25,Freitag,25,0,2,23,0,2,30,3,28,2011,03,2011-03-25
26,Samstag,32,0,8,24,0,8,32,6,38,2011,03,2011-03-26
27,Sonntag,16,0,3,13,0,3,16,2,18,2011,03,2011-03-27
28,Montag,34,0,5,29,0,6,40,4,38,2011,03,2011-03-28
29,Dienstag,36,1,4,31,1,4,40,6,42,2011,03,2011-03-29
30,Mittwoch,41,0,4,37,0,4,44,6,47,2011,03,2011-03-30
31,Donnerstag,40,0,3,37,0,4,39,5,45,2011,03,2011-03-31
1,Dienstag,61,0,8,53,0,8,56,3,64,2008,04,2008-04-01
2,Mittwoch,53,0,3,50,0,4,57,4,57,2008,04,2008-04-02
3,Donnerstag,36,0,6,30,0,7,43,2,38,2008,04,2008-04-03
4,Freitag,36,0,1,35,0,1,39,4,40,2008,04,2008-04-04
5,Samstag,26,0,2,24,0,2,29,6,32,2008,04,2008-04-05
6,Sonntag,16,0,3,13,0,3,17,5,21,2008,04,2008-04-06
7,Montag,36,0,4,32,0,4,35,5,41,2008,04,2008-04-07
8,Dienstag,41,0,7,34,0,7,38,2,43,2008,04,2008-04-08
9,Mittwoch,44,0,4,40,0,4,54,2,46,2008,04,2008-04-09
10,Donnerstag,46,0,3,43,0,3,52,4,50,2008,04,2008-04-10
11,Freitag,48,0,4,44,0,4,54,4,52,2008,04,2008-04-11
12,Samstag,35,0,7,28,0,7,38,2,37,2008,04,2008-04-12
13,Sonntag,18,0,3,15,0,3,17,3,21,2008,04,2008-04-13
14,Montag,44,0,4,40,0,4,45,1,45,2008,04,2008-04-14
15,Dienstag,57,0,3,54,0,3,64,2,59,2008,04,2008-04-15
16,Mittwoch,40,0,4,36,0,4,40,3,43,2008,04,2008-04-16
17,Donnerstag,52,0,5,47,0,5,56,6,58,2008,04,2008-04-17
18,Freitag,40,0,3,37,0,3,46,2,42,2008,04,2008-04-18
19,Samstag,30,0,1,29,0,1,36,5,35,2008,04,2008-04-19
20,Sonntag,15,0,1,14,0,1,19,4,19,2008,04,2008-04-20
21,Montag,60,0,9,51,0,9,58,3,63,2008,04,2008-04-21
22,Dienstag,43,0,5,38,0,5,46,3,46,2008,04,2008-04-22
23,Mittwoch,53,0,7,46,0,7,55,2,55,2008,04,2008-04-23
24,Donnerstag,63,0,7,56,0,7,62,4,67,2008,04,2008-04-24
25,Freitag,40,1,6,33,1,6,45,4,44,2008,04,2008-04-25
26,Samstag,34,0,6,28,0,6,37,2,36,2008,04,2008-04-26
27,Sonntag,24,0,4,20,0,4,26,2,26,2008,04,2008-04-27
28,Montag,52,1,9,42,1,10,48,1,53,2008,04,2008-04-28
29,Dienstag,63,0,12,51,0,12,59,0,63,2008,04,2008-04-29
30,Mittwoch,63,1,10,52,1,10,56,1,64,2008,04,2008-04-30
1,Mittwoch,50,0,6,44,0,6,48,3,53,2009,04,2009-04-01
2,Donnerstag,62,1,9,52,1,10,74,0,62,2009,04,2009-04-02
3,Freitag,56,0,4,52,0,4,64,5,61,2009,04,2009-04-03
4,Samstag,27,0,6,21,0,6,22,2,29,2009,04,2009-04-04
5,Sonntag,31,0,6,25,0,6,32,2,33,2009,04,2009-04-05
6,Montag,45,0,7,38,0,7,42,1,46,2009,04,2009-04-06
7,Dienstag,46,0,2,44,0,2,53,2,48,2009,04,2009-04-07
8,Mittwoch,38,0,4,34,0,4,36,2,40,2009,04,2009-04-08
9,Donnerstag,54,0,8,46,0,8,52,4,58,2009,04,2009-04-09
10,Freitag,25,1,5,19,1,6,22,0,25,2009,04,2009-04-10
11,Samstag,35,0,5,30,0,8,40,1,36,2009,04,2009-04-11
12,Sonntag,24,0,5,19,0,5,28,3,27,2009,04,2009-04-12
13,Montag,17,0,4,13,0,5,20,0,17,2009,04,2009-04-13
14,Dienstag,43,0,8,35,0,8,39,2,45,2009,04,2009-04-14
15,Mittwoch,44,1,4,39,1,4,49,0,44,2009,04,2009-04-15
16,Donnerstag,62,0,8,54,0,8,61,1,63,2009,04,2009-04-16
17,Freitag,36,0,9,27,0,9,32,1,37,2009,04,2009-04-17
18,Samstag,30,0,4,26,0,5,40,1,31,2009,04,2009-04-18
19,Sonntag,24,0,1,23,0,1,31,3,27,2009,04,2009-04-19
20,Montag,53,0,6,47,0,6,65,1,54,2009,04,2009-04-20
21,Dienstag,54,0,7,47,0,8,50,1,55,2009,04,2009-04-21
22,Mittwoch,53,0,2,51,0,2,57,0,53,2009,04,2009-04-22
23,Donnerstag,44,1,5,38,1,5,43,3,47,2009,04,2009-04-23
24,Freitag,51,0,7,44,0,7,50,4,55,2009,04,2009-04-24
25,Samstag,45,2,11,32,2,11,43,0,45,2009,04,2009-04-25
26,Sonntag,38,0,6,32,0,7,45,2,40,2009,04,2009-04-26
27,Montag,63,0,9,54,0,10,66,2,65,2009,04,2009-04-27
28,Dienstag,45,0,7,38,0,7,44,2,47,2009,04,2009-04-28
29,Mittwoch,49,1,3,45,1,3,51,3,52,2009,04,2009-04-29
30,Donnerstag,62,0,5,57,0,5,67,4,66,2009,04,2009-04-30
1,Donnerstag,48,0,6,42,0,7,52,5,53,2010,04,2010-04-01
2,Freitag,19,1,1,17,1,2,24,1,20,2010,04,2010-04-02
3,Samstag,18,0,2,16,0,2,28,3,21,2010,04,2010-04-03
4,Sonntag,11,0,1,10,0,1,14,4,15,2010,04,2010-04-04
5,Montag,14,0,4,10,0,4,12,1,15,2010,04,2010-04-05
6,Dienstag,29,0,5,24,0,5,28,0,29,2010,04,2010-04-06
7,Mittwoch,32,0,5,27,0,5,37,0,32,2010,04,2010-04-07
8,Donnerstag,39,0,5,34,0,6,39,3,42,2010,04,2010-04-08
9,Freitag,24,0,6,18,0,7,22,5,29,2010,04,2010-04-09
10,Samstag,35,0,4,31,0,4,41,2,37,2010,04,2010-04-10
11,Sonntag,7,0,1,6,0,1,9,3,10,2010,04,2010-04-11
12,Montag,46,0,6,40,0,6,41,6,52,2010,04,2010-04-12
13,Dienstag,47,0,4,43,0,4,48,4,51,2010,04,2010-04-13
14,Mittwoch,29,0,1,28,0,1,35,1,30,2010,04,2010-04-14
15,Donnerstag,54,0,13,41,0,14,55,2,56,2010,04,2010-04-15
16,Freitag,36,0,3,33,0,3,41,3,39,2010,04,2010-04-16
17,Samstag,32,0,3,29,0,3,42,4,36,2010,04,2010-04-17
18,Sonntag,28,0,3,25,0,3,31,5,33,2010,04,2010-04-18
19,Montag,37,0,2,35,0,2,47,2,39,2010,04,2010-04-19
20,Dienstag,45,0,4,41,0,4,47,1,46,2010,04,2010-04-20
21,Mittwoch,42,0,7,35,0,7,40,1,43,2010,04,2010-04-21
22,Donnerstag,39,0,6,33,0,8,44,4,43,2010,04,2010-04-22
23,Freitag,48,0,3,45,0,3,53,2,50,2010,04,2010-04-23
24,Samstag,29,0,5,24,0,5,34,2,31,2010,04,2010-04-24
25,Sonntag,33,0,9,24,0,10,33,4,37,2010,04,2010-04-25
26,Montag,47,0,3,44,0,4,57,1,48,2010,04,2010-04-26
27,Dienstag,37,1,2,34,1,2,39,2,39,2010,04,2010-04-27
28,Mittwoch,41,0,5,36,0,5,40,1,42,2010,04,2010-04-28
29,Donnerstag,44,1,2,41,1,2,52,2,46,2010,04,2010-04-29
30,Freitag,50,0,6,44,0,8,54,1,51,2010,04,2010-04-30
1,Freitag,52,0,6,46,0,7,54,1,53,2011,04,2011-04-01
2,Samstag,40,0,8,32,0,8,42,3,43,2011,04,2011-04-02
3,Sonntag,31,1,4,26,1,5,40,3,34,2011,04,2011-04-03
4,Montag,45,1,6,38,1,9,42,4,49,2011,04,2011-04-04
5,Dienstag,NA,0,3,29,0,3,36,5,37,2011,04,2011-04-05
6,Mittwoch,32,0,4,28,0,4,37,3,35,2011,04,2011-04-06
7,Donnerstag,42,0,2,40,0,2,51,2,44,2011,04,2011-04-07
8,Freitag,40,0,1,39,0,1,45,3,43,2011,04,2011-04-08
9,Samstag,46,1,7,38,1,7,50,2,48,2011,04,2011-04-09
10,Sonntag,28,0,6,22,0,7,27,2,30,2011,04,2011-04-10
11,Montag,46,0,6,40,0,6,42,2,48,2011,04,2011-04-11
12,Dienstag,53,0,6,47,0,6,49,2,55,2011,04,2011-04-12
13,Mittwoch,46,0,6,40,0,6,47,1,47,2011,04,2011-04-13
14,Donnerstag,47,0,1,46,0,1,53,3,50,2011,04,2011-04-14
15,Freitag,39,0,7,32,0,7,37,2,41,2011,04,2011-04-15
16,Samstag,28,1,2,25,1,2,36,6,34,2011,04,2011-04-16
17,Sonntag,24,0,4,20,0,4,28,3,27,2011,04,2011-04-17
18,Montag,39,0,8,31,0,8,33,1,40,2011,04,2011-04-18
19,Dienstag,37,0,5,32,0,5,39,4,41,2011,04,2011-04-19
20,Mittwoch,63,0,6,57,0,6,66,4,67,2011,04,2011-04-20
21,Donnerstag,63,0,6,57,0,6,66,3,66,2011,04,2011-04-21
22,Freitag,28,0,7,21,0,7,33,0,28,2011,04,2011-04-22
23,Samstag,36,0,5,31,0,5,36,2,38,2011,04,2011-04-23
24,Sonntag,30,0,8,22,0,8,29,0,30,2011,04,2011-04-24
25,Montag,17,0,1,16,0,1,18,2,19,2011,04,2011-04-25
26,Dienstag,44,0,3,41,0,3,48,4,48,2011,04,2011-04-26
27,Mittwoch,40,0,4,36,0,4,39,1,41,2011,04,2011-04-27
28,Donnerstag,48,1,5,42,1,5,51,3,51,2011,04,2011-04-28
29,Freitag,49,0,8,41,0,8,45,2,51,2011,04,2011-04-29
30,Samstag,34,1,5,28,1,5,36,6,40,2011,04,2011-04-30
1,Donnerstag,40,0,4,36,0,5,45,2,42,2008,05,2008-05-01
2,Freitag,45,0,3,42,0,3,44,4,49,2008,05,2008-05-02
3,Samstag,35,0,3,32,0,3,41,7,42,2008,05,2008-05-03
4,Sonntag,25,0,6,19,0,9,24,1,26,2008,05,2008-05-04
5,Montag,59,0,5,54,0,5,71,2,61,2008,05,2008-05-05
6,Dienstag,49,0,3,46,0,3,54,8,57,2008,05,2008-05-06
7,Mittwoch,65,0,5,60,0,5,65,3,68,2008,05,2008-05-07
8,Donnerstag,81,0,9,72,0,9,79,3,84,2008,05,2008-05-08
9,Freitag,65,0,6,59,0,6,67,4,69,2008,05,2008-05-09
10,Samstag,54,0,4,50,0,4,64,3,57,2008,05,2008-05-10
11,Sonntag,27,0,4,23,0,4,31,1,28,2008,05,2008-05-11
12,Montag,32,0,4,28,0,4,38,1,33,2008,05,2008-05-12
13,Dienstag,66,0,15,51,0,15,59,3,69,2008,05,2008-05-13
14,Mittwoch,60,0,8,52,0,8,64,1,61,2008,05,2008-05-14
15,Donnerstag,56,0,5,51,0,5,55,4,60,2008,05,2008-05-15
16,Freitag,51,0,6,45,0,6,54,1,52,2008,05,2008-05-16
17,Samstag,40,0,3,37,0,3,41,4,44,2008,05,2008-05-17
18,Sonntag,17,0,2,15,0,2,18,2,19,2008,05,2008-05-18
19,Montag,56,0,9,47,0,9,55,4,60,2008,05,2008-05-19
20,Dienstag,55,0,5,50,0,5,57,4,59,2008,05,2008-05-20
21,Mittwoch,44,1,2,41,1,2,45,2,46,2008,05,2008-05-21
22,Donnerstag,61,0,6,55,0,6,65,1,62,2008,05,2008-05-22
23,Freitag,63,0,6,57,0,6,61,2,65,2008,05,2008-05-23
24,Samstag,31,0,6,25,0,6,35,1,32,2008,05,2008-05-24
25,Sonntag,32,0,3,29,0,3,40,2,34,2008,05,2008-05-25
26,Montag,49,0,4,45,0,5,52,1,50,2008,05,2008-05-26
27,Dienstag,51,0,11,40,0,11,47,2,53,2008,05,2008-05-27
28,Mittwoch,47,0,8,39,0,8,44,2,49,2008,05,2008-05-28
29,Donnerstag,63,0,11,52,0,11,57,2,65,2008,05,2008-05-29
30,Freitag,63,0,10,53,0,10,65,4,67,2008,05,2008-05-30
31,Samstag,49,0,5,44,0,6,50,4,53,2008,05,2008-05-31
1,Freitag,27,0,3,24,0,3,27,3,30,2009,05,2009-05-01
2,Samstag,47,0,10,37,0,10,40,2,49,2009,05,2009-05-02
3,Sonntag,32,0,3,29,0,3,35,2,34,2009,05,2009-05-03
4,Montag,46,0,7,39,0,7,46,1,47,2009,05,2009-05-04
5,Dienstag,60,0,5,55,0,5,62,1,61,2009,05,2009-05-05
6,Mittwoch,43,1,3,39,1,4,49,3,46,2009,05,2009-05-06
7,Donnerstag,49,0,6,43,0,6,53,1,50,2009,05,2009-05-07
8,Freitag,57,0,6,51,0,7,57,3,60,2009,05,2009-05-08
9,Samstag,42,0,4,38,0,4,48,0,42,2009,05,2009-05-09
10,Sonntag,24,0,3,21,0,3,26,3,27,2009,05,2009-05-10
11,Montag,38,0,2,36,0,2,42,3,41,2009,05,2009-05-11
12,Dienstag,55,0,4,51,0,5,55,1,56,2009,05,2009-05-12
13,Mittwoch,53,0,5,48,0,5,54,4,57,2009,05,2009-05-13
14,Donnerstag,51,0,5,46,0,5,57,4,55,2009,05,2009-05-14
15,Freitag,55,0,6,49,0,6,54,4,59,2009,05,2009-05-15
16,Samstag,35,0,5,30,0,5,34,4,39,2009,05,2009-05-16
17,Sonntag,29,0,4,25,0,4,38,5,34,2009,05,2009-05-17
18,Montag,45,0,2,43,0,2,48,0,45,2009,05,2009-05-18
19,Dienstag,63,0,10,53,0,10,61,2,65,2009,05,2009-05-19
20,Mittwoch,55,0,4,51,0,4,62,2,57,2009,05,2009-05-20
21,Donnerstag,21,0,4,17,0,4,19,1,22,2009,05,2009-05-21
22,Freitag,38,0,4,34,0,4,40,1,39,2009,05,2009-05-22
23,Samstag,33,0,9,24,0,10,32,4,37,2009,05,2009-05-23
24,Sonntag,34,0,5,29,0,5,35,0,34,2009,05,2009-05-24
25,Montag,67,0,7,60,0,7,73,1,68,2009,05,2009-05-25
26,Dienstag,56,0,5,51,0,5,61,4,60,2009,05,2009-05-26
27,Mittwoch,56,0,5,51,0,5,60,2,58,2009,05,2009-05-27
28,Donnerstag,45,0,1,44,0,1,50,4,49,2009,05,2009-05-28
29,Freitag,54,0,8,46,0,9,60,4,58,2009,05,2009-05-29
30,Samstag,26,0,2,24,0,2,32,1,27,2009,05,2009-05-30
31,Sonntag,22,0,5,17,0,5,21,2,24,2009,05,2009-05-31
1,Samstag,19,0,5,14,0,5,19,4,23,2010,05,2010-05-01
2,Sonntag,22,0,2,20,0,2,28,1,23,2010,05,2010-05-02
3,Montag,51,0,5,46,0,6,53,7,58,2010,05,2010-05-03
4,Dienstag,37,0,2,35,0,2,44,3,40,2010,05,2010-05-04
5,Mittwoch,56,0,8,48,0,9,54,4,60,2010,05,2010-05-05
6,Donnerstag,51,0,8,43,0,8,51,7,58,2010,05,2010-05-06
7,Freitag,44,0,7,37,0,7,41,6,50,2010,05,2010-05-07
8,Samstag,25,0,5,20,0,5,26,4,29,2010,05,2010-05-08
9,Sonntag,24,0,4,20,0,4,29,3,27,2010,05,2010-05-09
10,Montag,39,0,3,36,0,3,43,3,42,2010,05,2010-05-10
11,Dienstag,38,0,4,34,0,4,39,3,41,2010,05,2010-05-11
12,Mittwoch,28,0,1,27,0,1,32,2,30,2010,05,2010-05-12
13,Donnerstag,21,1,3,17,1,6,19,5,26,2010,05,2010-05-13
14,Freitag,28,1,1,26,1,1,34,4,32,2010,05,2010-05-14
15,Samstag,27,0,5,22,0,5,27,3,30,2010,05,2010-05-15
16,Sonntag,23,0,3,20,0,3,28,4,27,2010,05,2010-05-16
17,Montag,39,0,7,32,0,7,35,1,40,2010,05,2010-05-17
18,Dienstag,41,0,3,38,0,3,42,3,44,2010,05,2010-05-18
19,Mittwoch,38,0,5,33,0,5,43,3,41,2010,05,2010-05-19
20,Donnerstag,43,1,5,37,1,6,42,1,44,2010,05,2010-05-20
21,Freitag,47,0,4,43,0,5,51,5,52,2010,05,2010-05-21
22,Samstag,23,0,2,21,0,2,25,2,25,2010,05,2010-05-22
23,Sonntag,22,0,2,20,0,2,25,3,25,2010,05,2010-05-23
24,Montag,14,0,2,12,0,2,13,1,15,2010,05,2010-05-24
25,Dienstag,52,0,6,46,0,6,59,2,54,2010,05,2010-05-25
26,Mittwoch,48,0,6,42,0,6,50,1,49,2010,05,2010-05-26
27,Donnerstag,42,0,1,41,0,1,47,8,50,2010,05,2010-05-27
28,Freitag,49,0,7,42,0,7,49,0,49,2010,05,2010-05-28
29,Samstag,45,0,7,38,0,8,46,2,47,2010,05,2010-05-29
30,Sonntag,25,0,4,21,0,4,25,7,32,2010,05,2010-05-30
31,Montag,62,0,7,55,0,9,69,1,63,2010,05,2010-05-31
1,Sonntag,29,0,2,27,0,2,35,3,32,2011,05,2011-05-01
2,Montag,43,0,8,35,0,8,37,1,44,2011,05,2011-05-02
3,Dienstag,59,1,7,51,1,7,67,1,60,2011,05,2011-05-03
4,Mittwoch,42,0,7,35,0,7,40,1,43,2011,05,2011-05-04
5,Donnerstag,69,0,8,61,0,8,68,8,77,2011,05,2011-05-05
6,Freitag,59,0,5,54,0,5,57,3,62,2011,05,2011-05-06
7,Samstag,52,1,6,45,1,6,58,0,52,2011,05,2011-05-07
8,Sonntag,28,0,6,22,0,11,28,3,31,2011,05,2011-05-08
9,Montag,72,0,5,67,0,5,78,1,73,2011,05,2011-05-09
10,Dienstag,67,0,9,58,0,12,80,1,68,2011,05,2011-05-10
11,Mittwoch,40,0,4,36,0,4,46,2,42,2011,05,2011-05-11
12,Donnerstag,48,0,8,40,0,8,52,1,49,2011,05,2011-05-12
13,Freitag,59,1,7,51,1,7,55,1,60,2011,05,2011-05-13
14,Samstag,24,0,2,22,0,2,32,3,27,2011,05,2011-05-14
15,Sonntag,20,0,5,15,0,5,23,2,22,2011,05,2011-05-15
