wt,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,yr,mo,Date
3,Freitag,29,0,0,29,0,0,34,3,32,2012,02,2012-02-03
4,Samstag,28,0,2,26,0,2,33,5,33,2012,02,2012-02-04
5,Sonntag,19,0,3,16,0,3,18,8,27,2012,02,2012-02-05
6,Montag,37,1,3,33,1,3,36,3,40,2012,02,2012-02-06
7,Dienstag,18,1,6,11,1,6,14,2,20,2012,02,2012-02-07
8,Mittwoch,38,0,2,36,0,2,47,4,42,2012,02,2012-02-08
9,Donnerstag,37,0,1,36,0,1,43,4,41,2012,02,2012-02-09
10,Freitag,36,0,7,29,0,8,36,4,40,2012,02,2012-02-10
11,Samstag,18,0,4,14,0,4,22,6,24,2012,02,2012-02-11
12,Sonntag,7,0,1,6,0,1,7,8,15,2012,02,2012-02-12
13,Montag,18,0,5,13,0,5,14,3,21,2012,02,2012-02-13
14,Dienstag,36,0,8,28,0,8,34,2,38,2012,02,2012-02-14
15,Mittwoch,25,1,0,24,1,0,31,2,27,2012,02,2012-02-15
16,Donnerstag,22,0,4,18,0,4,21,2,24,2012,02,2012-02-16
17,Freitag,32,1,4,27,1,4,28,4,36,2012,02,2012-02-17
18,Samstag,23,0,4,19,0,4,27,8,31,2012,02,2012-02-18
19,Sonntag,9,0,1,8,0,1,9,3,12,2012,02,2012-02-19
20,Montag,35,0,8,27,0,8,34,8,43,2012,02,2012-02-20
21,Dienstag,28,0,6,22,0,6,28,4,32,2012,02,2012-02-21
22,Mittwoch,21,0,3,18,0,3,28,1,22,2012,02,2012-02-22
23,Donnerstag,18,0,0,18,0,0,19,4,22,2012,02,2012-02-23
24,Freitag,36,0,5,31,0,5,33,2,38,2012,02,2012-02-24
25,Samstag,25,0,4,21,0,5,26,2,27,2012,02,2012-02-25
26,Sonntag,14,0,1,13,0,1,19,1,15,2012,02,2012-02-26
27,Montag,31,0,4,27,0,4,31,2,33,2012,02,2012-02-27
28,Dienstag,31,1,4,26,1,8,33,5,36,2012,02,2012-02-28
29,Mittwoch,31,0,9,22,0,9,28,2,33,2012,02,2012-02-29
1,Donnerstag,39,0,4,35,0,5,45,1,40,2012,03,2012-03-01
2,Freitag,30,0,3,27,0,3,30,4,34,2012,03,2012-03-02
3,Samstag,36,0,7,29,0,7,35,4,40,2012,03,2012-03-03
4,Sonntag,11,0,1,10,0,1,12,2,13,2012,03,2012-03-04
5,Montag,30,0,3,27,0,3,38,1,31,2012,03,2012-03-05
6,Dienstag,35,0,7,28,0,7,31,3,38,2012,03,2012-03-06
7,Mittwoch,24,0,2,22,0,2,27,3,27,2012,03,2012-03-07
8,Donnerstag,30,0,4,26,0,4,31,0,30,2012,03,2012-03-08
9,Freitag,38,0,5,33,0,5,40,5,43,2012,03,2012-03-09
10,Samstag,14,0,0,14,0,0,18,4,18,2012,03,2012-03-10
11,Sonntag,20,0,5,15,0,6,23,4,24,2012,03,2012-03-11
12,Montag,39,0,7,32,0,7,36,3,42,2012,03,2012-03-12
13,Dienstag,28,0,6,22,0,7,24,1,29,2012,03,2012-03-13
14,Mittwoch,21,0,5,16,0,7,21,1,22,2012,03,2012-03-14
15,Donnerstag,26,0,6,20,0,6,22,2,28,2012,03,2012-03-15
16,Freitag,59,0,5,54,0,6,61,5,64,2012,03,2012-03-16
17,Samstag,41,0,3,38,0,3,43,6,47,2012,03,2012-03-17
18,Sonntag,21,0,3,18,0,3,19,1,22,2012,03,2012-03-18
19,Montag,37,0,2,35,0,2,40,2,39,2012,03,2012-03-19
20,Dienstag,41,1,3,37,1,3,44,1,42,2012,03,2012-03-20
21,Mittwoch,31,0,4,27,0,4,30,0,31,2012,03,2012-03-21
22,Donnerstag,44,0,3,41,0,3,50,2,46,2012,03,2012-03-22
23,Freitag,53,1,7,45,1,7,52,2,55,2012,03,2012-03-23
24,Samstag,39,0,7,32,0,7,42,2,41,2012,03,2012-03-24
25,Sonntag,22,0,3,19,0,3,24,6,28,2012,03,2012-03-25
26,Montag,46,0,4,42,0,4,44,2,48,2012,03,2012-03-26
27,Dienstag,36,0,6,30,0,6,36,4,40,2012,03,2012-03-27
28,Mittwoch,38,0,6,32,0,6,34,3,41,2012,03,2012-03-28
29,Donnerstag,36,0,5,31,0,5,38,1,37,2012,03,2012-03-29
30,Freitag,39,0,9,30,0,10,35,1,40,2012,03,2012-03-30
31,Samstag,29,0,3,26,0,3,33,5,34,2012,03,2012-03-31
1,Sonntag,21,0,4,17,0,5,21,5,26,2012,04,2012-04-01
2,Montag,35,0,6,29,0,6,30,3,38,2012,04,2012-04-02
3,Dienstag,37,0,8,29,0,8,32,3,40,2012,04,2012-04-03
4,Mittwoch,33,0,5,28,0,5,32,2,35,2012,04,2012-04-04
5,Donnerstag,38,0,6,32,0,6,40,4,42,2012,04,2012-04-05
6,Freitag,23,0,6,17,0,6,24,5,28,2012,04,2012-04-06
7,Samstag,25,0,1,24,0,1,32,2,27,2012,04,2012-04-07
8,Sonntag,9,0,1,8,0,1,18,3,12,2012,04,2012-04-08
9,Montag,24,1,7,16,2,7,19,0,24,2012,04,2012-04-09
10,Dienstag,21,0,5,16,0,5,18,3,24,2012,04,2012-04-10
11,Mittwoch,37,0,6,31,0,6,39,3,40,2012,04,2012-04-11
12,Donnerstag,40,0,1,39,0,1,45,5,45,2012,04,2012-04-12
13,Freitag,39,0,7,32,0,7,37,3,42,2012,04,2012-04-13
14,Samstag,36,0,9,27,0,10,36,0,36,2012,04,2012-04-14
15,Sonntag,18,0,2,16,0,5,23,6,24,2012,04,2012-04-15
16,Montag,44,0,8,36,0,8,47,3,47,2012,04,2012-04-16
17,Dienstag,42,0,11,31,0,11,39,3,45,2012,04,2012-04-17
18,Mittwoch,44,1,4,39,1,4,45,4,48,2012,04,2012-04-18
19,Donnerstag,40,0,3,37,0,3,42,3,43,2012,04,2012-04-19
20,Freitag,51,0,8,43,0,8,52,3,54,2012,04,2012-04-20
21,Samstag,39,0,7,32,0,8,39,6,45,2012,04,2012-04-21
22,Sonntag,17,0,3,14,0,3,14,3,20,2012,04,2012-04-22
23,Montag,48,0,2,46,0,2,53,3,51,2012,04,2012-04-23
24,Dienstag,53,0,9,44,0,9,54,3,56,2012,04,2012-04-24
25,Mittwoch,50,0,8,42,0,8,52,3,53,2012,04,2012-04-25
26,Donnerstag,45,0,6,39,0,6,46,2,47,2012,04,2012-04-26
27,Freitag,61,0,9,52,0,9,57,5,66,2012,04,2012-04-27
28,Samstag,50,0,10,40,0,10,55,4,54,2012,04,2012-04-28
29,Sonntag,22,0,6,16,0,6,19,2,24,2012,04,2012-04-29
30,Montag,55,0,7,48,0,7,55,3,58,2012,04,2012-04-30
1,Dienstag,38,0,10,28,0,10,36,3,41,2012,05,2012-05-01
2,Mittwoch,76,0,10,66,0,10,89,2,78,2012,05,2012-05-02
3,Donnerstag,69,1,4,64,1,4,74,4,73,2012,05,2012-05-03
4,Freitag,55,0,6,49,0,6,52,1,56,2012,05,2012-05-04
5,Samstag,33,0,6,27,0,7,37,5,38,2012,05,2012-05-05
6,Sonntag,18,0,4,14,0,4,20,2,20,2012,05,2012-05-06
7,Montag,43,0,4,39,0,4,42,0,43,2012,05,2012-05-07
8,Dienstag,41,0,4,37,0,5,41,2,43,2012,05,2012-05-08
9,Mittwoch,42,1,7,34,1,7,42,4,46,2012,05,2012-05-09
10,Donnerstag,80,0,7,73,0,7,90,0,80,2012,05,2012-05-10
11,Freitag,60,0,7,53,0,7,63,4,64,2012,05,2012-05-11
12,Samstag,29,0,2,27,0,2,35,6,35,2012,05,2012-05-12
13,Sonntag,18,0,2,16,0,2,20,3,21,2012,05,2012-05-13
14,Montag,61,0,8,53,0,8,61,3,64,2012,05,2012-05-14
15,Dienstag,55,0,7,48,0,8,55,3,58,2012,05,2012-05-15
16,Mittwoch,52,0,10,42,0,10,49,4,56,2012,05,2012-05-16
17,Donnerstag,26,0,6,20,0,6,23,1,27,2012,05,2012-05-17
18,Freitag,40,1,8,31,1,9,38,4,44,2012,05,2012-05-18
19,Samstag,27,0,1,26,0,1,29,4,31,2012,05,2012-05-19
20,Sonntag,34,1,7,26,1,7,33,2,36,2012,05,2012-05-20
21,Montag,53,0,5,48,0,5,62,1,54,2012,05,2012-05-21
22,Dienstag,82,0,7,75,0,7,93,3,85,2012,05,2012-05-22
23,Mittwoch,74,0,2,72,0,2,80,2,76,2012,05,2012-05-23
24,Donnerstag,88,0,12,76,0,13,93,3,91,2012,05,2012-05-24
25,Freitag,91,1,16,74,1,16,87,1,92,2012,05,2012-05-25
26,Samstag,32,0,1,31,0,1,34,2,34,2012,05,2012-05-26
27,Sonntag,31,0,2,29,0,2,36,2,33,2012,05,2012-05-27
28,Montag,32,0,4,28,0,7,33,2,34,2012,05,2012-05-28
29,Dienstag,62,0,7,55,0,7,66,4,66,2012,05,2012-05-29
30,Mittwoch,61,0,6,55,0,6,68,3,64,2012,05,2012-05-30
31,Donnerstag,52,2,3,47,2,3,57,4,56,2012,05,2012-05-31
1,Freitag,38,0,4,34,0,4,40,3,41,2012,06,2012-06-01
2,Samstag,32,0,3,29,0,3,37,2,34,2012,06,2012-06-02
3,Sonntag,27,0,3,24,0,4,38,3,30,2012,06,2012-06-03
4,Montag,62,0,10,52,0,10,62,5,67,2012,06,2012-06-04
5,Dienstag,49,0,4,45,0,4,52,5,54,2012,06,2012-06-05
6,Mittwoch,52,0,5,47,0,6,54,2,54,2012,06,2012-06-06
7,Donnerstag,61,0,6,55,0,6,71,3,64,2012,06,2012-06-07
8,Freitag,75,0,8,67,0,8,84,10,85,2012,06,2012-06-08
9,Samstag,36,0,9,27,0,9,34,3,39,2012,06,2012-06-09
10,Sonntag,26,0,6,20,0,6,29,2,28,2012,06,2012-06-10
11,Montag,44,0,3,41,0,3,47,4,48,2012,06,2012-06-11
12,Dienstag,54,0,8,46,0,8,49,5,59,2012,06,2012-06-12
13,Mittwoch,51,0,5,46,0,6,50,2,53,2012,06,2012-06-13
14,Donnerstag,58,0,7,51,0,8,61,2,60,2012,06,2012-06-14
15,Freitag,54,0,15,39,0,16,46,3,57,2012,06,2012-06-15
16,Samstag,49,0,7,42,0,7,56,2,51,2012,06,2012-06-16
17,Sonntag,29,0,2,27,0,4,32,5,34,2012,06,2012-06-17
18,Montag,70,0,7,63,0,7,74,3,73,2012,06,2012-06-18
19,Dienstag,57,1,8,48,1,8,55,4,61,2012,06,2012-06-19
20,Mittwoch,57,0,6,51,0,6,52,4,61,2012,06,2012-06-20
21,Donnerstag,32,1,7,24,1,7,32,1,33,2012,06,2012-06-21
22,Freitag,48,0,10,38,0,11,43,1,49,2012,06,2012-06-22
23,Samstag,41,0,6,35,0,6,41,8,49,2012,06,2012-06-23
24,Sonntag,20,0,3,17,0,3,18,3,23,2012,06,2012-06-24
25,Montag,49,0,3,46,0,4,49,5,54,2012,06,2012-06-25
26,Dienstag,35,0,7,28,0,8,35,3,38,2012,06,2012-06-26
27,Mittwoch,48,0,5,43,0,5,50,4,52,2012,06,2012-06-27
28,Donnerstag,55,0,9,46,0,9,55,1,56,2012,06,2012-06-28
29,Freitag,51,0,10,41,0,10,46,2,53,2012,06,2012-06-29
30,Samstag,36,0,4,32,0,4,39,1,37,2012,06,2012-06-30
1,Sonntag,25,0,4,21,0,5,31,3,28,2012,07,2012-07-01
2,Montag,47,0,4,43,0,4,52,0,47,2012,07,2012-07-02
3,Dienstag,41,0,7,34,0,7,39,1,42,2012,07,2012-07-03
4,Mittwoch,61,0,13,48,0,13,54,1,62,2012,07,2012-07-04
5,Donnerstag,58,2,4,52,2,4,66,5,63,2012,07,2012-07-05
6,Freitag,30,0,4,26,0,4,35,2,32,2012,07,2012-07-06
7,Samstag,30,0,7,23,0,7,27,2,32,2012,07,2012-07-07
8,Sonntag,29,0,5,24,0,5,29,7,36,2012,07,2012-07-08
9,Montag,33,0,3,30,0,3,34,3,36,2012,07,2012-07-09
10,Dienstag,47,1,8,38,1,8,42,3,50,2012,07,2012-07-10
11,Mittwoch,45,0,5,40,0,5,46,3,48,2012,07,2012-07-11
12,Donnerstag,43,0,9,34,0,9,40,4,47,2012,07,2012-07-12
13,Freitag,41,0,6,35,0,6,45,3,44,2012,07,2012-07-13
14,Samstag,27,0,4,23,0,4,31,5,32,2012,07,2012-07-14
15,Sonntag,22,0,3,19,0,3,20,4,26,2012,07,2012-07-15
16,Montag,38,0,3,35,0,3,48,3,41,2012,07,2012-07-16
17,Dienstag,47,0,9,38,0,9,49,1,48,2012,07,2012-07-17
18,Mittwoch,29,0,3,26,0,3,37,4,33,2012,07,2012-07-18
19,Donnerstag,50,0,5,45,0,6,53,3,53,2012,07,2012-07-19
20,Freitag,40,0,7,33,0,8,35,3,43,2012,07,2012-07-20
21,Samstag,23,1,5,17,1,5,23,1,24,2012,07,2012-07-21
22,Sonntag,16,0,2,14,0,2,19,2,18,2012,07,2012-07-22
23,Montag,45,0,8,37,0,9,40,3,48,2012,07,2012-07-23
24,Dienstag,43,0,6,37,0,6,42,4,47,2012,07,2012-07-24
25,Mittwoch,51,0,7,44,0,7,51,0,51,2012,07,2012-07-25
26,Donnerstag,68,0,6,62,0,6,76,4,72,2012,07,2012-07-26
27,Freitag,51,1,11,39,1,12,54,3,54,2012,07,2012-07-27
28,Samstag,37,0,6,31,0,7,36,2,39,2012,07,2012-07-28
29,Sonntag,13,0,4,9,0,4,15,1,14,2012,07,2012-07-29
30,Montag,42,0,4,38,0,4,48,1,43,2012,07,2012-07-30
31,Dienstag,48,0,10,38,0,10,45,1,49,2012,07,2012-07-31
1,Mittwoch,42,0,5,37,0,5,45,3,45,2012,08,2012-08-01
2,Donnerstag,62,0,7,55,0,7,67,3,65,2012,08,2012-08-02
3,Freitag,52,0,4,48,0,4,56,4,56,2012,08,2012-08-03
4,Samstag,39,0,10,29,0,11,39,4,43,2012,08,2012-08-04
5,Sonntag,29,0,4,25,0,4,28,4,33,2012,08,2012-08-05
6,Montag,57,0,6,51,0,6,57,5,62,2012,08,2012-08-06
7,Dienstag,44,0,9,35,0,10,45,2,46,2012,08,2012-08-07
8,Mittwoch,53,0,8,45,0,8,55,3,56,2012,08,2012-08-08
9,Donnerstag,52,0,6,46,0,7,53,1,53,2012,08,2012-08-09
10,Freitag,45,0,7,38,0,8,47,2,47,2012,08,2012-08-10
11,Samstag,30,0,6,24,0,8,34,3,33,2012,08,2012-08-11
12,Sonntag,37,0,7,30,0,8,34,7,44,2012,08,2012-08-12
13,Montag,46,0,7,39,0,7,46,5,51,2012,08,2012-08-13
14,Dienstag,72,0,7,65,0,8,73,2,74,2012,08,2012-08-14
